"taxonID","description","type","language"
"alien-plants-belgium:taxon:249a52691c22adf9d6ff3fb5863760d2","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:249a52691c22adf9d6ff3fb5863760d2","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:249a52691c22adf9d6ff3fb5863760d2","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:24a5850cdee7587195921a61d24416c3","vagrant","origin","en"
"alien-plants-belgium:taxon:24a5850cdee7587195921a61d24416c3","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:24a5850cdee7587195921a61d24416c3","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:24b69d9fbead42f8ff0dbf8de5f7bc55","introduced","origin","en"
"alien-plants-belgium:taxon:24b69d9fbead42f8ff0dbf8de5f7bc55","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:24b69d9fbead42f8ff0dbf8de5f7bc55","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:24cf966013e77655cd7e106265c7d831","vagrant","origin","en"
"alien-plants-belgium:taxon:24cf966013e77655cd7e106265c7d831","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:24cf966013e77655cd7e106265c7d831","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:250f8b7b7ddc84903d5dafdb1b2fc98e","introduced","origin","en"
"alien-plants-belgium:taxon:250f8b7b7ddc84903d5dafdb1b2fc98e","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:250f8b7b7ddc84903d5dafdb1b2fc98e","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:251982d2f52ee4fa8e858b433302ff64","vagrant","origin","en"
"alien-plants-belgium:taxon:251982d2f52ee4fa8e858b433302ff64","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:251982d2f52ee4fa8e858b433302ff64","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:251982d2f52ee4fa8e858b433302ff64","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:251982d2f52ee4fa8e858b433302ff64","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:253ae3d7b22a96ec4f80d82e674a880d","vagrant","origin","en"
"alien-plants-belgium:taxon:253ae3d7b22a96ec4f80d82e674a880d","hybrid origin","native range","en"
"alien-plants-belgium:taxon:2540de01c446d1f1a05968465a20544c","vagrant","origin","en"
"alien-plants-belgium:taxon:2540de01c446d1f1a05968465a20544c","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2540de01c446d1f1a05968465a20544c","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2542085b855c4c02e0639c11a0f89890","vagrant","origin","en"
"alien-plants-belgium:taxon:2542085b855c4c02e0639c11a0f89890","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2542085b855c4c02e0639c11a0f89890","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2542085b855c4c02e0639c11a0f89890","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:255b01cf5b4e279443b829635cccafb9","vagrant","origin","en"
"alien-plants-belgium:taxon:255b01cf5b4e279443b829635cccafb9","Southern America (WGSRPD:8)","native range","en"
"alien-plants-belgium:taxon:255b01cf5b4e279443b829635cccafb9","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:259108a30e219308647ddf98d529f5f3","vagrant","origin","en"
"alien-plants-belgium:taxon:259108a30e219308647ddf98d529f5f3","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:259108a30e219308647ddf98d529f5f3","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2593c7dffaa6666ad8872fc2c7b05f2f","vagrant","origin","en"
"alien-plants-belgium:taxon:2593c7dffaa6666ad8872fc2c7b05f2f","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2599b1a35ff1fe4c48aaf546e67290a9","vagrant","origin","en"
