"id","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate"
241,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1811/2017"
242,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1999/2017"
243,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2007"
244,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2013/2014"
245,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1984/2017"
246,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1987/2017"
247,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2011/2015"
248,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2015/2016"
249,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture | contaminant:seed","1835/2014"
250,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2005/2016"
251,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1882/2017"
252,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1977/2017"
253,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1977/2016"
254,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1987/2016"
255,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2001/2011"
256,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2013"
257,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2016/2017"
258,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1975/2017"
259,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014"
260,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1919/2017"
261,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2009/2016"
262,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1800/2017"
263,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1984/2017"
264,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2001/2017"
265,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2001/2017"
266,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1997/2005"
267,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1953/1960"
268,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1986"
269,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1944/2016"
270,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals | escape:horticulture","1880/2017"
